Username,Comment
@absarulhaque9036,"Sir, you are looking like Rahul Gandhi"
@Spardhankur,"Biggest Irony : to learn english, warikoo gives prompt in fluent english 😅"
@MDROSHID-ro6fi,"Ma sha Allah ❤
Onek mojar class chilo"
@user-mx9lp2so3f,"Hey, My english language is so weak and i just watched this video and thank you for your guidance, and now i follow your rules and i hope i will trying much better to the help of chat Gpt😊"
@rizwankehumsafar,Good one🎉
@rajeducarestudio784,vua vodai.
@shashankkumar1362,"Repidcs English speaking course, 😂😂😂😂😂. 50 rs me English sikhe😂😂😂
Mujhe sanskrit sikhni hai, hai koi course tera paas 😂. 😂😂😂"
@raziawasi1955,"Wow zabardast, sir english learnig pr or video bnaen plz"
@jaadugar5914,Its possible to learn english bt.... Impossible for anyone in 90 days. Atleast 1 year would be enough 😌😌😌😌
@SonuShakyawar_1224,अगर इतनी ही इंग्लिश किसी को आती तो उसे chat gpt की जरूरत क्या है 😂😂😂
@s.m.2607,"Warikoo u have a decent amount of subs why are u even using ads to run Ur videos
U have my respect but such things really make that low!"
@AIRCARE-hs7ur,Give me peedback please
@AIRCARE-hs7ur,I am not a 12th pass can I speak English fluently
@umarhadi830,😂😂 L
@VishnuRabani,Hinglish me kuch likho
@nandlalpal4975,English sikhna hai chatgpt ko padana nhi hai😂
@achaaa__8,"CAN ANYONE HELP ME 

I KNOW ENGLISH I CAN SPEAK WELL ALSO BUT WHENEVER I GOT CHANCE TO GIVE PPT EXPLAINTION I GOT STUCK AT THE MIDDLE OF THE PRESENTATION SO HOW CAN I DEAL WITH THIS?"
@hardikseth9640,You can also learn Ankur warikoo course from gpt in 90 days use the same template
@MaclapVlogs,For learning English I has Started an YouTube channel there i do share daily short vlogs to improve my English and be better
@gauravattrey,🙌🙌🙌🙌🙌🙌
@faizanarif7282,Best Roadmap for learning fluent English
@slowedreverb3060,Very helpful video thank you so much sir❤❤❤
@user-tn2zx5pe9l,Majja nahi aaya sir
@anirudhverma8461,"tum rehne do, doglapan hai yeh tumhara, ek taraf jinki english kharab hai unhe mock karte ho, dusri taraf  unhike humdard banne ka dhong rachate ho"
@sakilsekh8753,11:57
@amankarki9074,❤
@Jerry-ev4tc,Sir English improving apps ph log bachiyaan dhond kr un sy bat krty. Bs 😢😅
@capturinglightsight7899,Welldone❤
@UNKNOWN-fw9ie,"i have been waiting for these since many years ,, tahnkyou ankur luv u"
@tvisha7572,"Great video! I'll use it to learn French now, will just increase the duration by 3 months maybe"
@TokoRyu-ts1er,"do epic shit😂, thanx for this vid😊"
@rahisuddinshaik6940,Dada Mera 2023 khatam ho gaiya 😅😅😅😅😅
@zoha7966,"what a video❤
i am very motivated after watching it
thank you so much 💓 for giving us such a wonderful roadmap to learn English"
@melodyangela450,More difficult to understand  2  language English and Hindi
@OmprakashChakraborty2006,Thank you so much sir  ❤
@nishaverma8021,"thank you so much warikoo sir 
it is a excellent idea for beginning. i am starting it right now. 
i am not very fluent in english but i tried my best to reply you in english"
@mahendrakumar7335,Bakwash video
@reverb7774,Sounds like big boss😂
@hasanmahmud8127,You shouldn't use background music
@pritamprativavlogs,Who wants to practice english with me?
@sachingupta7501,Impress to learn english
@warrior534,Sir day 1 to day 7 completed
@mukeshdewangan3677,Sir koi Speaking AI app hai kya?
@lav__srivastava_,Good afternoon sir & I'm your subscriber and this video is very important in my life and you are sach as jeanous person 😊
@bajrangfitness5247,Fake
@bajrangfitness5247,Fake
@bajrangfitness5247,Bhai ne koe help nhi kiya
@bajrangfitness5247,Maine paise daal ke dekh liye
@bajrangfitness5247,Pure fake u
@brranjanravi,this type of content I never seen in youtube platform.
@subham1490,Zero to hero chahiye
@priyankaborude349,😂😂😂😂😂😂😂😂 I am not make 1 sentences
@EasyAdvanceEnglish111,Easy Advance English
@bicsypandit,aby chat gpt ke liye bhi to english ke need ha......
@rakeshkoli4384,do not buy he is froud i took the course which  is useless
@FILMY336,Looking like dhuruv rathi
@anjumishra4483,Who is here for boards 😂
@himanshukumarsah3490,It's nice idea! After looking your this video I m trying to make my self better in English speaking tq😊
@makhanroy5762,Fininfluncer too English teacher.power of SEBI
@anuragbaghel4044,Thank you sir that is really important for us
@raunakbadholiya1290,Thanks you sir 😊😮🎉❤❤🎉😮😊
@AaravDhiman-rq8yy,Kuch bhi 😂kar offline acha yeh aap c bana te bs
@aesthetic_status9329,Am 2week late
@MukeshYaduvanshi-qf2qi,Sir Snapchat ai bhi best h English learning m😊
@TheViren02,Sir Rishi Sunak jaise lagte ho aap thod thoda 😅😅
@mohdimran-ov4cu,"For speaking practice, which app is good , fluent life or engvarta or any other app which u want to recommend"
@bhaktisrecipe4546,🎉🎉🎉🎉🎉🎉🎉
@Susmitabose1,The problem is  that chat gpt doesn't remember the previous conversations 😢😢😢😢😢
@ajaysivaramakrishnan7283,1:90 days:89
@learnwithusss,I love my pyara Bharat 🇮🇳❤
@pallavichaudhary6636,"Sir, background music disturbs. Thank you."
@suhailsaifi860,"I like your teaching method.sir thanks sir. I can't speak fluent English I  will try it thanks sir,👍"
@Gokuzomd,"I’m just going to sleep, and I got that video. Literally, he just provides a good structure for learning English. If someone genuinely wants to learn. Follow this Structure. I’m not giving you guarantee like after following this 90 Days Challenge, You’ll be a native speaker. But, for sure you’ll learn lots of things."
@abdurehmanqureshi2359,"1:24 - 2:12 Starting prompt - ""Hey GPT - I am a student trying to learn how to speak English. For the next 90 days, I will use your help to understand the fundamentals of English speaking and will need your help to make me get better."" Is that ok?

2:13 - 4:55 Week 1 - become comfortable with English by questioning and answering simple sentences. Make ChatGPT your English speaking friend who is on the same stage of learning English as you are. Give this prompt to ChatGPT, ""For the week 1, I want to use you as a friend who also does not know how to speak fluently in English. So we will pretend to speak to each other in simple English langauge. Where I will ask you questions and you will answer them in proper English, even if it is not complete. ""

4:56 - 10:49 Week 2 - Give this prompt to Chatgpt ""For this second week, I will listen to English content. Only audio, and then I wilk try to write what I understood, in English and share it with you. You have to give me feedback on my grammar and what I could do better."" Now listen as much English content as you can and write its summaries and ask for feedback from chatgpt and make yourself better.

10:50 - 12:34 Week 3 - Same excercise as Week 2 but now with reading content. Read online articles, English newspaper, blogs, etc. Give this prompt to ChatGPT, ""In this week 3, I will be reading English content instead of listening and will share with you a summary of what I understood. I want you to give me feedback on it in simple English.""

12:36 - 16:44 Week 4 - In this week you will speak English instead of reading or listening it. You can appoint one of your friend or any of your family member to do this practice with you. You can also use some apps like, tandem, HelloTalk, Josh Talk English speaking app, etc. Give this prompt to ChatGPT, ""In this week, I will try and have a real life conversation with someone who is also not a native English speaker. Then I will come back to you to seek help on how to improve my talk to someone.""

16:45 - 19:24 Day 31 to 45 (15 days) - In these days you will increase your foundation of English language learning. You will summarise all of your previous learnings from ChatGPT and ask for any doubt or clarity and will make yourself doubt free. Like you can ask for the difference between who and whom, difference between effect and affect.

19:25 - 21:11 Day 46 to 60 (15 days) - In these days you will work on a difficult part, yes, pronounciation. Asses yourself that what words are thoses whose pronounciation you don't know. Don't use ChatGPT in this process,instead use Google.

21:12 - 22:25 Day 61 to 75 (15 days) - In these days you will finally dive into the real world. You will go on online forums, social media apps, comment on people's posts, posting your own content, giving feedback to other content creators, doing live debates, etc. But you are not alone, you have ChatGPT by your side. You can ask for assistance anytime anywhere.

22:26 - 24:36 Day 76 to 90 (Last 15 days) - In these days, you will finally finally finally challenge yourself and start indulging in conversations with a native English speaker, one who has learned to speak English since he was born, the one whose English speaking skills are top notch and crisp. You will get scared while talking to him but it's the real challenge.

That was all, I hope it saved your alot of time. Before leaving this messege behind I want you to give me sincerest feedback on my English skills. I am 16 years old and doing O level. Thanks alot"
@phantaindo7540,Sir your idea is good but it's helping me in writing english but we are hesitate to speak in English
@ankurchauhan3421,Challenge accepted..
@rishabhsaini9319,It's such a great way to learn english i am also starting to do this Let's start and watch how much it will help me to improve my english.
@arunkumar4u,Aeon ke articles padho😂😂😂perfect ho jaaoge
@shreya__2.4,"Thank you Sir,  I'll try my Best to learn English.!"
@hmyounus7292,many many thanks for your video💌💌💌💌
@RehanFarooqui936,Nice
@Sahib-99,Very simple and understanding way to improve English.
@yearth-,"Siri, Alexa, Google Assistant Crying Outside The Door With Voice 🫤☠️"
@devgeet8276,Jisko bolna nahi aata. Par likhna aata. Usko bhi pata hona chahiye kya likhna hai writing me chatgpt me
@BinitaSharma-mb3df,Thanks u so much sir very helpful this device i m many times try to speak English in correct direction but anyone no advice for me then get platform so trust you thanks.....u so much i  m so appreciate  for your help 😊😊😊
@user-fx3uf1mb3f,Ielts potcast which one best improve your self
@DiverseArtistry,Please don't timepass on that video
@DiverseArtistry,It show that your are not english language teacher
@motivationshortsvalavj792,Bad me woh stories ko analysis karke phone me advertisement ayegi you pe video ayenge
@motivationshortsvalavj792,Puri daily life ki stories chat GPT mai save ho jayega
@solarexpert7688,Y saral sawal English m likhna hoga itna English jaanega to chat gpt kyu use krega
@user-xr6gj9yq6b,Thanks A lot sir for providing this kind of content. I know that it's very hard to make this kind of content.
@manibathla6896,Thanku so much sir for making such educational video.This will help me to improving my English.
@dattatraynagargoje4018,Very nice video of you sir and thanks a lot of you sir
@user-ht2mt4wk8s,Thank you so much sir ji God bless you lot of 🙏🙏🙏🙏🙏
@ayush6570,Your content is 🔥🔥
@rajatx958,Thank you for us telling about chat gpt i really helpful
@saxena-sf4lg,Apki back side pe plate Jo likha uska meanings keya hai
@kuldeepbaro3,"I have known your trick to keep people with your video and aslo watch time by 1.5x  
____reply__👈"
@prachi3919,👍
@prajyothattarge8271,Fantastic
@shubhambhardwaj6952,I just loved this method to learn the language properly. The clarity in his thoughts and voice is amazing.
@user-ec9nm3zp1x,sir itne prompts Likhne ke liye bhi to English aani chahiyennnn??   😅😅😅
@razivsarania,Brilliant idea sir 👍
@vaibhavjakhar398,"Anyone genuinely interested to talk for 90 days in english on call ?
Can reply here 🥹"
@worldwideinfo6806,Great to see you sir ❤love you from Pakistan 🇵🇰🇳🇪
@butterflypeacock2636,It is fantastic app🤍
@rajeshrathorr,"sir, IELTS ke liye chat gpt kese use kare ?"
@mittal2386,Chalo ye bhi try kar lete hai.
@naveedsulemani54,Fantastic ❤❤
@user-zl2ox1mq3g,Sir i can speak in english sometimes i am not undstanding english you increased my confidence sir thanks sir i love your video 😊😊
@sidrabaig9056,I really like your videos and I must to apply on it
@ashutoshpandey8569,Farzi tarika bas inko video banana h aur kuch nhi
@oreohere6311,Sir likh tou lege hai speak mai problem hoti hai uska btye
@justlaughdhondu,"Sir, kya English sikhne se pehle hi hame chat GPT se English me baat karna hoga, kuchh samajh nahi aaya"
@PriyangshuHazarika,the irony is this video have subtitles in english
@sdsquadboss,"I am also tried these same thing but In my chat gpt. GPT says I'm just a computer program, so I don't have feelings or emotions, but I'm here to assist you. How about you? How are you doing today?"
@neha_cooking7,5:00 week 2
@AliAbbas-dd8nz,"Thank you for this video, I'll try my best to do all these exercises every day for 90 days."
@priyankadulakasharia4108,Thank you sir❤
@ATOMliner4567,English is easy pls make 90 days Hindi learning tutorial..
@AbhishekWardhan3,Thank you sir👍🏻
@skediting981,Why we not speak in hindi if anyone not understand  then you say go and learn hindi then talk to me😂😂
@universalproblem367,"Kyaa baat hai sir , Aapke samjhane ka jo style hai, woww mujhe samjhne me bahut interest aa rha hai , such a great way for understanding 💯❣️"
@akitodaisuke6532,"Koi bichare ko content de do 
Shayad kuch mil nahi raha"
@djomy9160,So chatgpt replaced my GF
@rupaildighe2257,"When I was at 11th. I try to communicate with Amazon customer care services chat or call to improve English.


And now I write lot of emails using chatgpt every day. Chat Gpt is great platform to learn."
@PradeepSingh-fh6pw,Abe jaa
@Smilely-mm2gr,Thank you so much sir 😊
@projectometric,"Well now as SEBI has put a shut on the Self declared Finfluencers, dudes started teaching English 😂"
@sanjayray9309,"Mujhe ""removable"" bolne me problem hota hai 😅"
@AbhisheksinghbhadauriyaG,😊
@sunitasethi9930,Chat gpt Bhaut sare hai konsi use karni hai ...search bar nhi aarhai hai
@iamnoor.01,Easy to understand your video.
@shivamanand4841,❤
@snquadriidentifiednature1811,Mashallah great video 📷 sir 🫡🫡🫡😀👍👍
@mrajput6585,better to read newspaper
@mohammedathiekh3562,Can't thank you enough for this mind blowing video ❤❤
@amitdubey3207,"sorry Ankur this is not a very good idea for people who know the basic english, there are more beter way to learn. this is only for people these can know English intermediate."
@samimaktar74573,Itna sare questions likne ke liye to English sikna parega 😂
@RealSigma980,Hey gpt i am a student trying to learn how to speak in English for the next 90 days i will use your help to understand the fondamental of english speaking and will need your help to make me get better is that okay
@n.deshpande1310,GPT is not replying to me like he replied to you!
@NirajSingh07,"i heard sebi has been so many financial influemcer,...including warikoo??"
@friminivlog,Sir this is really amazing for me and I can't explain ki mujhe kitni khusi ye sunke that's why I have watched complete video.and try to make note for next 90days ❤❤❤
@REPRINZ8,Bʜᴀɪ ɪs ᴠɪᴅᴇᴏ ᴋᴏ ᴅᴜsᴛʙɪɴ ᴍᴇ ᴅᴀʟ🖕
@SuneelJain,Excellent Sir
@youtubepar7618,"Today , I am starting the English journey, thanks for suggestions sir"
@Enconie,Sir aapne jo word ko pronunciate nhi kar paate jaisa aapka example tha aapne us par 15thdays kyu nhi diya shayed aapko bhi wo word bolne me aasani ho jaye😅.
@muskansingh2301,Chatgdp name?
@chintan_1895,"Yeah I think it's work
But consistency is more difficult...
How to be more consistent..?"
@aiimsveinsvlogs,"Thanku so much sir .
I m following from today chat gpt for next 90 days ."
@mrtecch,English bahut hi bekar language hai kyunki ise britishers bolte the aur wo puriya duniya mai kabja kiye isliye english famous hui. Warna english mai rules fix nahi hai itne exceptions hai.ekdum unscientific language hai. Jabki hindi fix hai na iski grammar k rules fix hai. Jo likho wahi bola jata hai.  Russian japanses chinese jab english nahi bol pate to unka desh itna develop kaise kar gaya hai.
@Bhargab9707,I am ready ❤❤❤
@ashhyl329,"Instead make a angrez girlfriend and talk to her daily, chat, on calls, it will tremendously improve your english than any other method, this chatgpt thingy is super boring 😅, who talks to a bot and it's not even any fun, we can't talk about many things 😏"
@osshhoh-hx8kz,Scammer fake guru ab English seekhayega
@akshaylohar4009,Thank you ❤
@h092sheyosreehazra3,I was thinking that fortunately it comes to me 😅 thank you sir
@aniketkhemka7356,I Don't like this guy Ashneer grover is right but he will call me hater for saying this
@codeved,Faltu idea
@kiranbk25,thank you sir now i will 🎉🎉🎉
@ankurtiwari8614,"Your name and mine are similar, somewhere the ideas match, which is very amazing.😊"
@digitallyskill,I want to practice speaking english - so we can make a group and can practice daily - but first comment your prefer time then we will set a common time for all.
@kabinsharki2070,Chat Gpt must be paying for it 😂
@shaiz813,"I m student...thank you sir...u have a great knowledge...u helping us.. God bless you, 🙏"
@princesrivastava4475,"I've been actively working on improving my English communication skills, and I'm always looking for opportunities to practice and learn with others who have similar interests. If anyone   interested in English communication. Would you be open to connecting online and practicing together? I believe we can both benefit from this shared interest. Looking forward to your response."
@VishwasSharmaAJ,"Irony is, Mr. warikoo using chatgpt prompts in English to learn English 😂"
@vajrafox7240,"AI. 
First was the ai generated images and now the conversation. I just can't wait to see where its going.
It's mind blowing."
@vishalpatil6578,"short cut way: -> start watching english series and movies this will improve your listening and understanding skill. 
Start speaking in english with your friend and customer care people, (tip: try with indian scammer, most of them speak in different accent), this will boost your english speaking confidence. Last step: Learn basic grammar."
@renurawat838,Thank you sir for this advice I really need this
@carshop.com.,The truth is you can't speak english in 90 days
@Unknownone.,Sir you do a great job to make people good in English.
@GadgetsIgnitor,BEST WAY TO GET CONTENT.
@ShabeenaZ,Toastmasters also helps in getting confident with english speaking.
@couchreadersclub,Fantastic Idea! Thanks for sharing it.
@partha259,Your content is much helpful to built a deep knowledge of clarity. I hope you provided such content more further.
@thx514,To escape from sebi things 😂..got it😅
@shraddharathod6255,"Your video is really help full

I will do this nd improve my English in 90 days.thank you"
@seekingtheSELF,Guftagu گفتگو and chat has sky difference my friend
@vishnujatav6329,Helpful
@1968ramana,Why don't you identify one person from the Hindi heartland and teach them to speak in English for five minutes? What say?
@tanyasharma4134,Oh my god !!!!! I was actually planning to do this by my own and you just came with this idea wow i think god is hearing me and doing things for me 😂tooo grateful for it and also god didnt  want me to make any excuses so he did it fast af 😂😂😂
@samruddhijaware3834,Thank you for this video! Any tips to learn how to write in English in the correct sense? Especially with respect to professional space?
@jdeepakachary,Vry informative vdo sir ❤
@khanshakirhusain4359,I have tried a lot and now iam fluent in English 👍
@bsmcryptowala5472,"Sir,..I am a government employee can I invest in crypto without doing any kind of trading?"
@ManeeshSolankiVideos,Teri dukaan abhi bhi chal rhi hai!
@dnyaneshwarsarvade6998,Such a nice explanation Sir Thank you for this video😍
@ghanshyampatekar9933,"Very good sir,
Before 2024 i will definitely speak fluently in English.
Not immediately but definitely in 90 days.
Thanks once again Sir,"
@propassionate,"Hello ankur, if this is a foolproof then select any vernacular people and perform them with 90 days challenge live on YouTube.
Everything is easy to give knowledge but implement it practical.Else don't give condolences to subscribers"
@debojyotichoudhury1498,"From ""Stock news to Learn English"" is this because of SEBI new guidelines."
@pokan29,Sir I want to join ur company pls respond
@aniketpaul9423,Please tell me which app provides step up option in mutual fund?
@ugyennamgay3341,Did anyone completed this 90 days plan of english learning and spoken English fluently.
@Knowledgeadda929,Hindi bol k English sikha rhe h ye log
@monicachauhan8220,Thank you so much sir
@pokemonftlfirsttolast6551,"Kya, UTI nifty 50 index fund and HDFC nifty 50 index fund same hai or alag hai. Kon sa index fund acha hai SIP ke liye in Indmoney App."
@santraaofficial9563,"Teaching finance without a license will be illegal soon, hence he is teaching English. good move."
@sachitshukla7956,Disclaimer: Don't try this at home. You will end up expiring your chatgpt credits in 7 days only.
@abhaypandey1594,"भाई आप एक ही video घुमा घुमा के एक ही video,ek hi content, बनाते रहते हो, मतलब दाल वही है, बस तड़का रोज बदल जाता है, या वही रहता है 🤔🤔🤔सब views का खेल है बाबू भैया😂😂"
@laluchudasama1797,Is me khud ke views 40k as rahe hai vo Banda sikha Raha hai ki how to success in YouTube
@Herr_Internet,"Thanks Mate! 🎉
I will do this Shit. And GPT makes it easier with voice conversation. 
Greetz from Germany"
@khushik6191,Sir please create a new video about gilglish this is new ai tool but it is not opening because many users in this new ai tool please tell me about this new ai tool this is helpful or not
@_forreal,"I never knew ChatGpt could this helpfuI. Thank you sir for introducing something creative from free resources available at our home. I found this video very helpful with some unique techniques which may improve our english for sure if one is willing to. This video is a great help for students like us. I'm still thinking of having a real life day to day english conversation so I can improve my speaking English. 

❤"
@aasthajais.1731,This can't be possible for those who are unable to pay for premium bcz tgere are the limitation of few messages that youcan ask to chatgpt assistant afte the completion of those messeages you have nothing to do on this platform. ....so for me this video is just useless.........
@suvenduhota3860,"After a Subtle gift from SEBI on FINFLUENCERS showing them their true level, now all have started shifting away from giving Guru Gyaan on investments. Learn English in 90 days , Learn Mimicry in 40 days these would be next lot of videos I guess. 
Thank God atleast ur irritating ads would stop now.."
@HemrajMotivation,Ab fin influecer giri toe gayi bhai tumhari
@ramadevi261,❤
@pankajmishra8445,Excellent advice Sir
@jaminradioupma,You are the rockstar for planned and structured actions
@bindiyagidwani6053,"I really like your contact that inspires me so much, your contact is valuable and knowledgeable, great work"
@preetiskapoor,Such a brilliant idea Ankur.. The fact that you genuinely want to help people is so evident in your videos and your courses.. Hats off..
@khushik6191,What a great idea 💡 sir 👍 you are a great thank you this is very helpful not only me for all i appreciate you 💖 this is not only easy Learning also very interesting learning lots of ideas will be create lots of questions ⁉️ 😊❤ thank you thank you so much ☺️
@abdullahalimran7967,Background music very irritating
@snniraz8113,Kya baat h sir 20s online courses ka link share krke products list dikha rhe ho😂😂😂😂😅😅😅
@syedamirali3205,For me it is advice and advise... Even I have read about it many still having the confusion.
@sirishapativada4656,"Week 1 - wrtie/ share your thoughts/ ask questions to chat gpt in simple language
 Eg: how was your day? Etc
Week2 - listen to a podcast & share it in text with gpt. Ask for grammatical mistakes, corrections and feedback
Week3 - read some article or blog or any, share what you understood to gpt & get feedback
Week 4 - have real life conversation , take gpt help for phrases, idioms etc
Week 5&6 - ask random questions / doubts. Improve your vocabulary 
Week 7&8 - pronunciation (do it in google as gpt replies in only text) 
Week 9&10- discuss with other, record video/audio in english
Week 11&12 - talk to native speakers or with friends& family who can speek fluent English

Do it for atleast 15min a day for 90 days"
@balukalapad6978,"Sir thank you so much
Amezing GPT aap thank you 🙏☺️"
@psrfscmm,"Sir when i asked chatgpt 
How are you doing today? it simply answer i am a sinple computer program I don't have feeling 😅😅"
@smrutibehera2217,Thanks a lot for giving such a great advice and I must complete the challenge. So it's my 1st day of my 1st week.❤
@SunilChouhan03,"किसी किसी ने sir ki book पढ़ी या सुनी है क्या.... ... .. ! 
❤❤❤❤❤love you all guys 🥰😘😊😍🤗"
@SunilChouhan03,कोन कोन Hindi सीखना चाहिएगा😂❤
@devikakumari3857,Kya hum english speaking institute join kar sakte hai kya
@devikakumari3857,Hello sir
@abhiraj6929,finally good video
@madz_reakts,Thanks bhai bht badhiya cheez hai ye
@inspiringwordss,"hi sir, please make a vdo on, How one should choose a right career, what r those things which one should consider while choosing a career after 12th."
@kiranbk25,sir you gave us a good guidance  .....
@sumanbehera7611,Chatting in english is easy the problem is in having a face to face real conversation.
@ritikatripathi342,Sir mujhe achha writer bnna h?
@wkskdnam,Laurikooo
@shauryatomararts7098,Same process kiya but no reply to my question to answer
@rsss123,HAHAHA....HAHAHA... JAB 90% LOK EK JEETE JAGTE INSAAN SE ENGLISH NHI SEEKH SAKTE ... VO ISS SE KYA SEEKHE GE... BEEEKKAARR HAI BHI... ESSE VIDEO MUT BNAYO YAAR...
@captain2op734,❤
@Theamangupta01,Great ending 😂😂❤❤🎉🎉
@rehanmultani9836,"Brooo , i was thinking today that i wanna get fluent in englishhh and you made a video💀👍"
@thegagantrivedi,Awesome
@morangdrugjonai3332,"Jitna din ho gaya aapko follow karte huwe maine kabhi bhi comment nei diya. Lekin main jis podh ko dhund raha tha aaj mil gaya. aapko sukriya aada karneke liye mere paas kuch v nei hai.
But, I'm really really happy for this video. Not only this video actually I like your every video. And this video is a special gift for me, my wife and my sweet little angel.
main aapko bohut jald milunga ek alag topic ke liye.

Thank you so much sir, LOT'S OF LOVE YOU FROM ASSAM."
@no_winger,Fun fact: Ankur ne is video pe bhi English subtitles diye hai.. btw ❤
@ekimov98,Sorry 1.5x doesn’t make the experience better. It makes it comical.
@harsh1784,1% will try doing this
@sailendrapatra3613,Not so impressive
@MohitThankur-gp2uq,Love u sir I accept this challenge ❤
@RutujaRenuse,Chat gpt help in many work also..like in project work assignment work..
@elevating_life,"It looks like an effective way to achieve fluency in English. Now, I'm going to add this task & keep track of it on Excel.


Sir, I have sent a email to you can you mention how much time it took you to read personal email's you receive.
Do you respond email? or only read them?
what is the time of the day when you read emails?"
@dr.ashwanikumar1616,"Register me,a sr.citizen, rtd C.M.o."
@modhpratham367,"Sir Thank you , this video helps very well for learning English"
@FayazIslamAyon,I just love this man
@greenlife7747,"Hi ,warikoo ankal iam 14 year old girl  if your friend"
@danishmev562,Great Sir...❤️💝
@Matilda130_,"I'm giving my name info and clicking Continue but it doesn't work
Someone help"
@comicalgamer7820,Sir budgeting par video banao ❤️
@MillionaireHouseholdFinance,For me Hindi is relatively easy to understand but hard to fluently speak and I am trying to learn Hindi from the last 10 years! Watched most of the Bollywood movies!
@ukuk-wq8ln,"sir, after 3 month we provide our feedback on this video"
@Manirajpalsaw,Very much video that video inspires me 🫡🫡
